T	X1	X2	X3	X4
3.361e-01 	-7.64777387e-02 	-0.012559656	-0.00168492348	-0.00018761696
3.411e-01 	-8.09896197e-02 	-0.0136718464	-0.00188622956	-0.000216082107
3.461e-01	-8.56918032e-02	-0.0148625275	-0.00210779475	-0.000248307988
3.511e-01 	-9.05890112e-02 	-0.0161357933	-0.00235127219	-0.000284717724
3.561e-01 	-9.56859851e-02 	-0.0174958685	-0.00261841705	-0.000325773584
3.611e-01 	-1.00987484e-01 	-0.0189471098	-0.0029110905	-0.000371979772
3.661e-01 	-1.06498283e-01	-0.0204940058	-0.00323126369	-0.000423885354
3.711e-01 	-1.12223171e-01 	-0.0221411778	-0.00358102186	-0.000482087313
3.761e-01	-1.18166949e-01 	-0.0238933795	-0.00396256834	-0.000547233739
3.811e-01 	-1.24334428e-01 	-0.0257554977	-0.00437822864	-0.000620027152
3.861e-01 	-1.30730428e-01	-0.0277325514	-0.00483045448	-0.00070122796
3.911e-01 	-1.37359774e-01 	-0.0298296924	-0.00532182785	-0.000791658054
3.961e-01 	-1.44227299e-01 	-0.0320522043	-0.00585506502	-0.000892204535
4.000e-01	-1.49752421e-01	-0.033876275	-0.00630188317	-0.000978266134
